<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20220118;030000;76.8433
USDRUB;D;20220119;030000;76.156
USDRUB;D;20220120;030000;76.7701
USDRUB;D;20220121;030000;77.74
USDRUB;D;20220123;030000;77.4118
USDRUB;D;20220124;030000;78.6832
USDRUB;D;20220125;030000;78.7197
USDRUB;D;20220126;030000;79.3659
USDRUB;D;20220127;030000;78.0155
USDRUB;D;20220128;030000;77.9373
USDRUB;D;20220130;030000;77.9281
USDRUB;D;20220131;030000;77.155
USDRUB;D;20220201;030000;76.765
USDRUB;D;20220202;030000;76.1212
USDRUB;D;20220203;030000;76.4683
USDRUB;D;20220204;030000;75.44
USDRUB;D;20220206;030000;76.095
USDRUB;D;20220207;030000;75.4234
USDRUB;D;20220208;030000;75.128
USDRUB;D;20220209;030000;74.57
USDRUB;D;20220210;030000;74.86
USDRUB;D;20220211;030000;77.2928
USDRUB;D;20220213;030000;77.5693
USDRUB;D;20220214;030000;76.4733
USDRUB;D;20220215;030000;75.4773
USDRUB;D;20220216;030000;75.0684
USDRUB;D;20220217;030000;76.2508
USDRUB;D;20220218;030000;77.3489
USDRUB;D;20220220;030000;78.0533
USDRUB;D;20220221;030000;80.3536
USDRUB;D;20220222;030000;78.8413
USDRUB;D;20220223;030000;78.694
USDRUB;D;20220224;030000;84.9539
USDRUB;D;20220225;030000;83.8608
USDRUB;D;20220227;030000;83.9043
USDRUB;D;20220228;030000;104.2585
USDRUB;D;20220301;030000;108.4769
USDRUB;D;20220302;030000;103.3505
USDRUB;D;20220303;030000;108.75
USDRUB;D;20220304;030000;121.7875
USDRUB;D;20220306;030000;121.7875
USDRUB;D;20220307;030000;138.25
USDRUB;D;20220308;030000;125
USDRUB;D;20220309;030000;133.5
USDRUB;D;20220310;030000;129.5
USDRUB;D;20220311;030000;133.25
USDRUB;D;20220313;030000;132.9316
USDRUB;D;20220314;030000;117.25
USDRUB;D;20220315;030000;104.75
USDRUB;D;20220316;030000;95.75
USDRUB;D;20220317;030000;102
USDRUB;D;20220318;030000;103
USDRUB;D;20220320;030000;101.0982
USDRUB;D;20220321;030000;105.9
USDRUB;D;20220322;030000;105.9931
USDRUB;D;20220323;030000;95.25
USDRUB;D;20220324;030000;102.2056
USDRUB;D;20220325;030000;101.25
USDRUB;D;20220327;030000;100.9007
USDRUB;D;20220328;030000;94.5
USDRUB;D;20220329;030000;85
USDRUB;D;20220330;030000;83.4902
USDRUB;D;20220331;030000;81.7387
USDRUB;D;20220401;030000;85
USDRUB;D;20220403;030000;82.75
USDRUB;D;20220404;030000;83.2476
USDRUB;D;20220405;030000;83.9925
USDRUB;D;20220406;030000;82.1117
USDRUB;D;20220407;030000;79.2467
USDRUB;D;20220408;030000;79.5
USDRUB;D;20220410;030000;80.25
USDRUB;D;20220411;030000;83.4979
USDRUB;D;20220412;030000;85.3613
USDRUB;D;20220413;030000;82.4
USDRUB;D;20220414;030000;81.875
USDRUB;D;20220415;030000;82.75
USDRUB;D;20220417;030000;82.75
USDRUB;D;20220418;030000;80.375
USDRUB;D;20220419;030000;80.7449
USDRUB;D;20220420;030000;82.25
USDRUB;D;20220421;030000;80.8775
USDRUB;D;20220422;030000;76.625
USDRUB;D;20220424;030000;76.625
USDRUB;D;20220425;030000;75.149
USDRUB;D;20220426;030000;74.248
USDRUB;D;20220427;030000;73.881
USDRUB;D;20220428;030000;72.7515
USDRUB;D;20220429;030000;70.6
USDRUB;D;20220502;030000;70.5749
USDRUB;D;20220503;030000;68.251
USDRUB;D;20220504;030000;66.4872
USDRUB;D;20220505;030000;64.775
USDRUB;D;20220506;030000;67.5
USDRUB;D;20220509;030000;70.1158
USDRUB;D;20220510;030000;70.1212
USDRUB;D;20220511;030000;66.7325
USDRUB;D;20220512;030000;65.1145
USDRUB;D;20220513;030000;64.5
USDRUB;D;20220516;030000;63.875
USDRUB;D;20220517;030000;65.475
USDRUB;D;20220518;030000;64.7442
USDRUB;D;20220519;030000;62.1176
USDRUB;D;20220520;030000;61.25
USDRUB;D;20220522;030000;60.8394
USDRUB;D;20220523;030000;58.5856
USDRUB;D;20220524;030000;56.375
USDRUB;D;20220525;030000;59.589
USDRUB;D;20220526;030000;63.925
USDRUB;D;20220527;030000;65.75
USDRUB;D;20220529;030000;65.75
USDRUB;D;20220530;030000;63.9931
USDRUB;D;20220531;030000;62
USDRUB;D;20220601;030000;62.75
USDRUB;D;20220602;030000;62.75
USDRUB;D;20220603;030000;62.61
USDRUB;D;20220605;030000;63
USDRUB;D;20220606;030000;60.875
USDRUB;D;20220607;030000;61
USDRUB;D;20220608;030000;60.24
USDRUB;D;20220609;030000;58.0124
USDRUB;D;20220610;030000;55.125
USDRUB;D;20220612;030000;57.5
USDRUB;D;20220613;030000;57.4804
USDRUB;D;20220614;030000;58
USDRUB;D;20220615;030000;57.2281
USDRUB;D;20220616;030000;58.4969
USDRUB;D;20220617;030000;56.5
USDRUB;D;20220619;030000;56
USDRUB;D;20220620;030000;54.75
USDRUB;D;20220621;030000;53.125
USDRUB;D;20220622;030000;54
USDRUB;D;20220623;030000;53.9974
USDRUB;D;20220624;030000;53.6
USDRUB;D;20220626;030000;53.3708
USDRUB;D;20220627;030000;53.1
USDRUB;D;20220628;030000;53
USDRUB;D;20220629;030000;51.9806
USDRUB;D;20220630;030000;54.25
USDRUB;D;20220701;030000;55.25
USDRUB;D;20220703;030000;53.9495
USDRUB;D;20220704;030000;55.25
USDRUB;D;20220705;030000;61.75
USDRUB;D;20220706;030000;62.75
USDRUB;D;20220707;030000;63.061
USDRUB;D;20220708;030000;63
USDRUB;D;20220710;030000;64.9074
USDRUB;D;20220711;030000;64.25
USDRUB;D;20220712;030000;58.4175
USDRUB;D;20220713;030000;58.4689
USDRUB;D;20220714;030000;59.205
USDRUB;D;20220715;030000;55.75
